"SamAccountName","Enabled"
"krbtgt","False"
"lbcruz","False"
"_althora","False"
"ASPNET","False"
"con-sbustos","False"
"bamaral","False"
"Guest","False"
"_modelo","False"
"F626FADB-D9D2-49C3-B","False"
"9F850EEB-58E8-4239-9","False"
"_neoload","False"
"tpermis","False"
"_server","False"
"EGoulart1","False"
"CA-ExMB_PZDEKFSAS1","False"
"usn-cadastroexpresso","False"
"CA-ExMB_PZDEKFBDC1","False"
"_fax_usn","False"
"_RRas","False"
"A4D8E4B5-BA4F-491B-9","False"
"milima","False"
"jfreitas","False"
"mcribeiro","False"
"shv_vinicius","False"
"shv_ralvim","False"
"fmoreira","False"
"pcmachado","False"
"lucsantos","False"
"con-dfonseca","False"
"bsbaltazar","False"
"abomfim","False"
"taisantos","False"
"afsantos","False"
"con_ccardoso","False"
"jdantas","False"
"shv_omelo","False"
"shv_vmrodrigues","False"
"jsimoes1","False"
"con-acampos","False"
"aassantos","False"
"shv_fasouza","False"
"rleite","False"
"shv_thmsilva","False"
"shv_mlsilva","False"
"con-dsouza","False"
"fleal","False"
"shv_jpadrao","False"
"alfonseca","False"
"fchagas","False"
"shv_atleite","False"
"shv_tlaray","False"
"shv_mgoncalves","False"
"shv_cgoncalves","False"
"shv_alfonseca","False"
"shv_mfrodrigues","False"
"shv_fteixeira","False"
"shv_rcardoso","False"
"shv_rcrodrigues","False"
"shv_jpedreira","False"
"shv_saalves","False"
"plcosta","False"
"jsferreira","False"
"jesteves","False"
"shv_fsantoro","False"
"con-vbarcelos","False"
"cb_magualuza","False"
"shv_afsilva","False"
"shv_cfrodrigues","False"
"rbittencourt","False"
"jmoliveira1","False"
"con-alima","False"
"camiranda","False"
"evvoliveira","False"
"shv_mnferreira","False"
"rbravo","False"
"shv_glnascimento","False"
"gdcosta","False"
"cb_jaasouza","False"
"con-elpsouza","False"
"jximenes","False"
"Shv_CMarquiori","False"
"cb_ccaceres","False"
"earamos","False"
"shv_rallemand","False"
"BR_USN_19_SALA02","False"
"ltoliveira","False"
"ccruz","False"
"hmoreira","False"
"shv_pferreira","False"
"con-maoliveira","False"
"shv_svieira","False"
"jmanhaes","False"
"ritaparica","False"
"acastro","False"
"allsilva","True"
"vnobrega2","False"
"vnobrega1","False"
"con_nobumitsu","False"
"con-rgomes","False"
"rgribeiro","False"
"con-acastro","False"
"cb_dsassis","False"
"mtanzi","False"
"egvieira","False"
"con-tpermissaoad","False"
"con-lvieira","False"
"bsilva","False"
"shv_mrazevedo","False"
"cb_vnobrega","False"
"anfoliveira","False"
"hematuro","False"
"tbatista","False"
"jsfranca","False"
"inascimento","False"
"BR_RCC_21_TREINAMENT","False"
"JMoliveira","True"
"jpereira","False"
"creis","False"
"cbranco","False"
"icampos","False"
"PLigeiro","False"
"lsnascimento","False"
"mccsilva","False"
"con-rbrasil","False"
"mfvsilva","False"
"balves","True"
"fvale","False"
"irodrigues","False"
"con-ramacedo","False"
"arbarbosa","False"
"con-lesantos","False"
"con-gbsantos","False"
"abarbosa","False"
"mnunes","False"
"CScalabrin","False"
"aflima","False"
"ltorquetti1","False"
"shv_psalvadori","False"
"shv_rhora","False"
"cb_plcosta","False"
"aloliveira","False"
"shv_evoliveira","False"
"qmesquita","True"
"ljferreira","False"
"merodrigues","False"
"lazevedo","False"
"con-rmendonca","False"
"con-dfonsec1","False"
"alcampos","False"
"lalvim","False"
"con-pwopereis","False"
"reloliveira","False"
"BR_USN_20_SALA05","False"
"shv_masantos","False"
"testeisaconsultmis","True"
"testeisalevel2","True"
"super_individual","True"
"RCC","True"
"supergasbras_relacio","False"
"supergasbras.relacio","True"
"npequeno","True"
"cacsantos","True"
"nsales","True"
"sassis","True"
"tcamilo","True"
"dpeixoto","True"
"AlAzevedo","True"
"hcoliveira","True"
"fsoliveira","True"
"ploureiro","True"
"gaffonso","True"
"jvoliveira","True"
"palmeida","True"
"fcsilva","True"
"ecbraga","False"
"amatta","True"
"mabreu1","False"
"rcvcosta","True"
"aafernandes","True"
"acfraga","True"
"rvaz","True"
"fmonte","True"
"gsilva","True"
"igarcia","True"
"ammelo","True"
"GOliveira","True"
"bcoliveira","True"
"pcbonfante","True"
"jgarcia","True"
"gmsilva","True"
"acosta","True"
"issouza","True"
"uabracado","True"
"wscosta","True"
"aibsilva","True"
"tscanivello","True"
"mrmoura","True"
"lcanto","True"
"gcandeias","True"
"tsouza","True"
"ileiras","False"
"tabsilva","True"
"txcosta","True"
"apercilio","True"
"maosilva","True"
"tmvasconcellos","True"
"con-slopes","True"
"jsousa","True"
"camcosta","True"
"rvasconcellos","True"
"fbraga","True"
"imribeiro","True"
"fbatista","True"
"flopes","True"
"lsmsilva","False"
"DFaver","True"
"pdirk","True"
"rterra","True"
"isribeiro","True"
"con-jbsilva","True"
"ccnogueira","False"
"ronoliveira","True"
"taraujo","True"
"asmartins","True"
"mpinheiro","True"
"dicarvalho","True"
"emfsantos","True"
"raleite","True"
"vlemos","True"
"ccgoncalves","True"
"rncosta","True"
"mlorena","True"
"mpferreira","True"
"edfpereira","True"
"rvmendes","True"
"fcapponi","True"
"sbarboza","True"
"jmelo","True"
"dsoliveira","True"
"crsilva","True"
"masilva","True"
"gpereira","True"
"gtsilva","True"
"ddias","True"
"con-wesley.costa","True"
"lcunha","True"
"mnetto","True"
"jlximenes","True"
"adribeiro","True"
"ALobo","True"
"DSpinheiro","True"
"con-hsilva","True"
"con-vmpsilva","True"
"mfritz","True"
"mvasilva","True"
"fjbarbosa","True"
"blsilva","True"
"asousa","True"
"ltorquetti","True"
"ressantos","True"
"lurosa","True"
"srvieira","True"
"erjsilva","True"
"afalmeida","True"
"jsvinagre","True"
"fmbarboza","True"
"acamelo","True"
"mggrodrigues","True"
"lrfreitas","True"
"bmiguel","True"
"AMSantos","True"
"mbrandao","False"
"jpsilva","True"
"arsouza","True"
"laraujo","True"
"llelis","True"
"rssantos","True"
"AStolarz","True"
"JSimoes","True"
"vsoliveira","True"
"dcarneiro","True"
"vpecanha","True"
"pribeiro","True"
"lgteixeira","True"
"asena","True"
"con-rvsilva","True"
"emcarvalho","True"
"RBorges","True"
"lfreire","True"
"wluz","True"
"ltheodoro","True"
"cbalbino","True"
"deferreira","True"
"cbasques","True"
"cavsilva","True"
"jrsilva","True"
"kfigueiredo","True"
"ecsilva","True"
"ppinto","True"
"llisboa","True"
"geisilva","True"
"dalvarez","True"
"aojesus","True"
"anfbarbosa","True"
"rfraga","True"
"lramalho","True"
"migsantos","True"
"ffpereira","True"
"coguimaraes","True"
"ralmeida","True"
"abcardoso","True"
"dsilva","True"
"glopes","True"
"lmattos","True"
"pssantos","True"
"aioliveira","True"
"lpmaio","True"
"rbasilio","True"
"vicsilva","True"
"lrmartins","True"
"rsipauba","True"
"aesantos","True"
"ANunes","True"
"jperico","True"
"agsantos","True"
"dferreira","True"
"jpedreira","True"
"vbento","True"
"cafonseca","True"
"teste_sala_2","False"
"rpamplona","True"
"jubsilva","True"
"shv_bcoliveira","True"
"shv_tz0","True"
"shv_sassis","True"
"shv_cacsantos","True"
"shv_wgigliozzi","True"
"shv_lpires","True"
"con-lmonaco","True"
"aandre","False"
"shv_ado.pereira","True"
"_sinc-shvb","True"
"shv_llisboa","True"
"Citrix_Teste","True"
"shv_marcio.souza","True"
"shv_abaptista","True"
"shv_fcarvalho","False"
"shv_jppontes","False"
"shv_ralmeida","True"
"shv_masilva","True"
"shv_acosta","True"
"con-aneto","False"
"dmeireles","True"
"aramos","True"
"shv_rcvcosta","True"
"snunes","False"
"rlsilva","False"
"con-mpoliveira","True"
"asdias","True"
"wjsantos","True"
"tneves","False"
"mberocha","True"
"lltavares","True"
"jramm","True"
"rgarzon","False"
"cnovaes","True"
"shv_vcsantos","True"
"acandrade","True"
"lgmelo","False"
"acajueiro","True"
"jgsilva","True"
