SamAccountName		userAccountControl
aabatista	true	512
aabrito	true	512
aacastro	true	544
aafernandes	true	512
aafreitas	true	512
aagostinis	true	512
AAguiar	true	512
aamaral	true	512
aanascimento	true	512
aanselmo	true	512
aaoliveira	true	512
aapsilva	true	512
aarsilva	true	512
aasantos	true	512
aasilveira	true	512
AAssis	true	512
abaldotto	true	512
abaptista	true	512
abarboza	true	512
abaron	true	512
abarreto	true	512
abarros	true	512
abcardoso	true	512
abernardino	true	544
abet	true	512
abispo	true	512
abortolan	true	512
abrandao	true	512
abrito	true	512
absantos	true	512
absouza	true	512
acadete	true	512
acajueiro	true	512
acamara	true	512
acamelo	true	512
ACampos	true	512
acandrade	true	544
acantunes	true	512
acanuto	true	512
Acardoso	true	512
acarneiro	true	512
acarvalho	true	512
acavalcante	true	544
accampos	true	544
accastro	true	512
acesario	true	512
acfraga	true	512
acfreitas	true	512
achnascimento	true	512
acjunior	true	512
acnascimento	true	512
acorrea	true	512
acortes	true	512
acosta	true	512
acrosa	true	512
ACSantos	true	512
acsouza	true	512
acustodio	true	512
ACVieira	true	512
adamico	true	512
adaoliveira	true	512
ADare	true	512
adarze	true	512
adasantos	true	512
adbarbosa	true	512
ADcarvalho	true	512
adelavia	true	512
adenucci	true	512
ADERosa	true	512
ADFernandes	true	512
ADFerreira	true	512
adfonseca	true	512
adfsilva	true	512
adilson.silva	#N/D	512
admoreira	true	512
adneto	true	512
adoliveira	true	512
adreis	true	512
adriana.moraes	true	512
adribeiro	true	512
adrumond	true	512
ADSantos	true	512
adsilva	true	544
adssantos	true	512
aduarte	true	512
aedantas	true	512
aesantos	true	512
afalmeida	true	512
afavoreto	true	512
afazolo	true	512
afcosta	true	512
afgomes	true	512
afigueiredo	true	544
afmiranda	true	512
afonseca	true	512
afranca	true	512
afreitas	true	512
aftavares	true	512
AGalvao	true	512
agarofalo	true	512
agaspar	true	512
agasparele	true	512
agguedes	true	544
aghedin	true	512
AGoncalves	true	512
agori	true	512
agrande	true	512
agroisman	true	512
agsantana	true	512
agsantos	true	512
aguedes	true	512
aguimaraes	true	512
ahlima	true	512
ahpsilva	true	512
AHSilva	true	512
aibsilva	true	512
aioliveira	true	512
ajamorim	true	512
ajbrito	true	512
ajsantos	true	512
ajschouwenaar	true	544
aknascimento	true	512
alapereira	true	512
alaporte	true	512
alaraujo	true	512
AlAzevedo	true	512
albarros	true	512
albrito	true	544
alegomes	true	512
ALeitao	true	512
alemartins	true	512
alemos	true	544
alepsilva	true	544
alesalves	true	512
alessilva	true	512
alexandre.abreu	true	512
algoncalves	true	512
alino	true	544
allsilva	true	544
almartins	true	512
almonteiro	true	512
ALobo	true	512
alopes	true	544
alpsilva	true	512
AlRocha	true	512
alsalves	true	512
alsantana	true	544
alsilva	true	512
alsousa	true	544
alssouza	true	512
alzsilva	true	512
amacintyre	true	512
amaia	true	512
amalagon	true	512
amartins	true	512
amasantos	true	512
amassa	true	512
amatos	true	544
amatta	true	512
amendes	true	512
ameschiatto	true	512
amiranda	true	512
amlima	true	512
ammelo	true	512
amoreira	true	512
amota	true	512
ampeixoto	true	512
AMSantos	true	512
amsena	true	512
amsouza	true	512
amurcia	true	512
anamaral	true	512
ANardino	true	512
anarodrigues	true	544
anbmoreira	true	544
ancarvalho	true	512
andersilva	true	512
andre.cardoso	#N/D	512
andre.lima	true	512
andre.silva	true	512
andsilva	true	512
ANery	true	512
aneves	true	512
anfbarbosa	true	512
anfsouza	true	512
anleite	true	512
anmrodrigues	true	512
AnOliveira	true	512
anpereira	true	512
anrodrigues	true	544
anrosa	true	512
ansilva	true	512
ansousa	true	512
anssilva	true	512
ANunes	true	512
aojesus	true	512
aolemos	true	512
aosilva	true	512
aosouza	true	512
apaiva	true	512
apalmeida	true	512
apaula	true	512
apercilio	true	512
apfreitas	true	544
apfsilva	true	544
apgomes	true	512
apivoto	true	512
APOliveira	true	512
appereira	true	512
appinto	true	512
apsantos	true	512
apsilva	true	512
apssouza	true	512
aqsilva	true	512
aralves	true	512
aramos	true	512
arangel	true	544
aranjos	true	512
arccarvalho	true	512
arcorrea	true	512
arezende	true	512
arferreira	true	512
aribeiro	true	512
armartins	true	512
armendes	true	512
arodrigues	true	512
arosa	true	512
arossi	true	512
arribeiro	true	512
ARSantos	true	512
arsilva	true	512
arsouza	true	512
aruse	true	512
asantana	true	512
asantos	true	512
asappracone	true	512
asaraujo	true	512
asasantos	true	512
asassaki	true	512
asawada	true	512
asazevedo	true	512
ascamara	true	512
ascarvalho	true	544
asdias	true	512
asena	true	512
asenne	true	512
asfreitas	true	512
asilva	true	512
asiqueira	true	544
asjsilva	true	512
asmartins	true	512
asoares	true	512
asobral	true	512
asoliveira	true	512
asousa	true	512
asouza	true	512
aspereira	true	512
asribeiro	true	512
assantos	true	512
AStolarz	true	512
ateixeira	true	512
atleite	true	512
atoledo	true	512
atrindade	true	512
atsantana	true	544
avalenzuela	true	512
avcortes	true	512
avelozo	true	512
aventurini	true	512
avnunes	true	512
avosilva	true	512
awippel	true	512
Awoliveira	true	512
azaraujo	true	512
azennaro	true	512
azsilva	true	512
basantos	true	512
bbraga	true	512
bbrilhante	true	512
bcerqueira	true	512
bcoliveira	true	512
bcosta	true	512
bdias	#N/D	512
besantos	true	512
bfgomes	true	544
bfmartins	true	512
bheijlen	true	544
bianca.antunes	true	512
bleite	true	512
blima	true	512
bloureiro	true	512
blourenco	true	512
blsilva	true	512
bmarchezini	true	512
BMendonca	true	512
bmenezes	true	512
bmiguel	true	512
bmmelo	true	544
bnlima	true	544
bpmarques	true	512
brendom.amaral	true	512
brpsilva	true	512
bruno.pacheco	#N/D	512
bsantiago	true	512
bsantos	true	512
bsenna	true	512
bsnascimento	true	512
bssantos	true	512
bvaz	true	512
bvitoria	true	512
bvitorino	true	544
bwoliveira	true	512
caasantos	true	512
caasilva	true	512
cabsilva	true	512
cacarvalho	true	512
cacsantos	true	512
cacsilva	true	512
cafonseca	true	512
caio.souza	#N/D	512
calves	true	512
camcosta	true	512
camorim	true	512
candrade	true	512
caoliveira	true	512
CAPSantos	true	512
caraujo	true	512
carlucio.sa	true	512
carosa	true	512
carsantos	true	512
CASantis	true	512
casantos	true	512
CASilva	true	512
Cassis	true	512
cavsilva	true	512
cbalbino	true	512
cbasques	true	512
cbelinek	true	544
cbezerra	true	512
cbiaso	true	512
cblima	true	512
cbnascimento	true	512
CBorges	true	512
cbraga	true	512
cbribeiro	true	512
CBSantos	true	512
cbusson	true	512
ccanuto	true	512
ccarvalho	true	512
