"SamAccountName","userAccountControl","LastLogonDate","whenCreated","homeMDB"
"mauro.ourives","512",,"13/07/2019 01:26:13",
"mausilva","514",,"09/03/2017 07:38:38","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mavargas","512","22/07/2019 08:40:08","31/08/2012 17:21:12","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mauricio.siqueira","512",,"13/07/2019 03:44:48","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mauro.carvalho","512",,"13/07/2019 02:48:56",
"mauro.d.santos","512",,"13/07/2019 01:49:18",
"max.santos","512",,"13/07/2019 00:10:28",
"maycon.rodrigues","512",,"13/07/2019 00:39:47",
"mazevedo","514","06/05/2019 14:10:22","01/08/2016 17:31:03","CN=BRRJSHVGASCOCDDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbalmeida","512","25/07/2019 10:17:57","17/01/2018 08:54:26","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"maxsuel.aprigio","512",,"13/07/2019 01:12:59",
"mayasilva","514","08/10/2018 06:38:16","20/07/2010 17:15:13","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"maycon.martins","512",,"13/07/2019 01:14:15",
"mauricio.santos1","512",,"13/07/2019 03:32:36",
"matheus.duarte","512",,"13/07/2019 01:52:24",
"matheus.messias","512",,"08/07/2019 12:18:57",
"matheus.reis","512",,"13/07/2019 04:14:55","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mateus.rosa","512",,"13/07/2019 02:01:51",
"mateus.silva","512",,"13/07/2019 03:35:20",
"matheus.anna","512",,"13/07/2019 02:25:14",
"matias.santos","512",,"13/07/2019 00:23:43",
"mauricio.d.santos","512",,"13/07/2019 02:04:15",
"mauricio.l.santos","512",,"13/07/2019 00:32:45",
"mauricio.marques","512",,"13/07/2019 02:31:07",
"MAUA_20ANDAR","66048",,"03/01/2018 16:20:40","CN=BRRJSHVGASCOMQDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"maufernandes","512","15/07/2019 09:23:26","14/10/2011 07:44:40","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mauricio.alves","512",,"13/07/2019 03:28:50","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"MBandeira","514","09/07/2018 11:38:51","16/09/2006 19:17:56","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mcalbusch","512","22/07/2019 08:57:11","26/05/2009 16:32:22","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"MCapella","514","03/06/2019 08:45:46","06/11/2004 13:10:41","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mcarciano","514","29/09/2018 02:00:30","09/11/2017 16:21:59","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbritto","512","18/07/2019 08:50:40","01/08/2016 12:53:59","CN=BRRJSHVGASCOTZDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbzucolotto","512","19/07/2019 17:47:51","08/02/2011 15:15:39","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mcaetano","512","18/07/2019 10:54:02","16/04/2018 08:41:25","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mcardoso","512","22/07/2019 08:54:02","25/11/2009 16:14:58","CN=BRRJSHVGASCOTZDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mccgomes","514","30/05/2019 18:28:54","05/06/2012 17:24:15","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mccsilva","514","26/02/2018 08:51:51","09/02/2011 14:53:09","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"MCGomes","514","19/02/2018 11:17:23","28/09/2007 07:53:02","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mcarneiro","514","30/05/2019 08:16:32","08/12/2017 16:22:12","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mcarvalho","512","22/07/2019 17:56:39","02/05/2016 11:39:12","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
