"samaccountname","passwordlastset","passwordneverexpires"
"mvsantos",,"False"
"hsantos","21/02/2020 12:21:01","False"
"APOliveira","18/03/2020 18:41:23","False"
"dhjesus","23/03/2020 07:26:27","False"
"con-dcaldeira","17/03/2020 07:58:10","False"
"guoliveira","27/02/2020 06:53:31","True"
"ppreis","02/03/2020 07:52:57","False"
"fdias","13/03/2020 14:44:42","False"
"hfigueredo","27/03/2020 08:37:45","False"
"assantos","17/02/2020 07:52:42","False"
"coordbombeiobetim","30/05/2019 08:41:05","True"
"JTSilva","04/03/2020 07:33:34","False"
"jcdsouza","16/03/2020 10:04:28","False"
"esilva","27/02/2020 06:44:04","True"
"daasantos","14/02/2020 07:44:54","False"
"TBelo","06/03/2020 08:12:24","False"
"fsaguiar","28/02/2020 14:38:17","True"
"gmpereira","23/03/2020 15:28:25","False"
"vmalta","17/02/2020 07:42:00","False"
"grferreira","24/02/2020 09:22:29","True"
"srocha","17/02/2020 06:50:03","False"
"wlopes","26/02/2020 07:55:37","True"
"elemos","24/07/2018 06:06:00","False"
"crcosta","27/03/2020 08:13:51","False"
"bleite","30/08/2019 08:59:12","False"
"matdiniz","29/05/2019 09:00:04","False"
"Betingas","20/11/2009 12:48:26","True"
"wangelino","13/02/2020 06:16:06","False"
"elnunes",,"False"
"lcjardim",,"False"
"emarcolino","23/03/2020 07:28:55","False"
"ksouza","16/03/2020 07:30:07","False"
"adasantos","20/02/2020 09:55:40","False"
"flssilva","12/03/2020 09:49:51","False"
"amartins","17/03/2020 08:10:05","False"
"frota.betim","17/01/2017 10:59:41","False"
"certificadoregap","24/11/2009 10:07:50","False"
"rcatarina","02/03/2020 08:03:42","False"
"_backup-MCT","14/04/2009 14:50:46","True"
"scazarim","05/03/2020 10:02:29","False"
"fassuncao","16/03/2020 08:33:10","False"
"ysales","27/02/2020 17:50:08","True"
"con-leoliveira","09/12/2019 08:21:48","False"
"lmoreira","13/02/2020 10:08:33","False"
"fbini","13/03/2020 09:26:22","False"
"almartins","09/03/2020 06:23:33","False"
"ajschouwenaar","11/03/2020 12:33:54","False"
"ptrajano","02/03/2020 13:01:36","False"
"gasampaio","23/03/2020 12:14:39","False"
"jucsilva","23/03/2020 07:24:03","False"
"rnoliveira",,"False"
"rloliveira",,"False"
"gcoelho","24/03/2020 09:30:10","False"
"storres","09/03/2020 08:22:52","False"
"tcgomes","27/02/2020 09:15:25","True"
"jmarques","06/03/2020 14:27:13","False"
"con-emsantos","21/02/2020 08:07:36","False"
"kmsilva","27/01/2020 07:58:39","False"
"mdsilva","17/02/2020 04:03:53","False"
"LDiniz","27/02/2020 10:42:15","True"
"con-sjrodrigues","17/03/2020 15:00:28","False"
"avalenzuela","04/03/2020 10:08:39","False"
"dmartins","16/03/2020 08:47:52","False"
"con-ftmsantos","10/02/2020 10:45:45","False"
"dmariano","20/01/2020 18:23:55","False"
"ffranco","17/02/2020 07:58:17","False"
"lrsantos","22/08/2019 08:31:57","False"
"rbarboza","10/03/2020 08:57:49","False"
"jcorreia","02/03/2020 07:44:18","False"
"rfmoreira","21/02/2020 12:34:08","False"
"con-rnascimento","09/07/2019 09:58:54","False"
"wecsilva","10/03/2020 08:52:37","False"
"Telegas-MCT","10/12/2008 10:56:24","False"
"wgabriel","18/03/2020 09:10:44","False"
"jlrodrigues","17/03/2020 06:37:03","False"
"mgabrich","06/03/2020 09:29:02","False"
"cpinto","20/02/2020 09:12:28","False"
"gferraz","19/03/2020 09:20:33","False"
"gvenceslau","24/03/2020 15:35:43","False"
"rfmoura","03/03/2020 06:23:00","False"
"macdias","03/02/2020 16:18:51","False"
"evbraga","21/02/2020 10:13:51","False"
"mnoliveira","26/03/2020 15:40:57","False"
"con-tdsilva","18/01/2019 10:14:37","False"
"jvieira","17/02/2020 09:53:43","False"
"con-mfigueiredo",,"False"
"dandrade","16/03/2020 07:50:18","False"
"MSCosta","18/02/2020 09:58:56","False"
"ERPereira","26/03/2020 14:36:24","False"
"MMitraud","19/03/2020 07:02:09","False"
"ACVieira","16/03/2020 07:36:37","False"
"acanuto","20/03/2020 20:33:06","False"
"CFaria","10/02/2020 06:48:26","False"
"vfrade","23/03/2020 11:49:57","False"
"imotta","27/02/2020 16:45:40","True"
"mcrisostomo","13/02/2020 07:46:26","False"
"TCorrea","20/02/2020 06:17:30","False"
"lafernandes","26/03/2020 16:07:50","False"
"SCarmo","05/03/2020 08:19:20","False"
"imartins","19/08/2019 09:09:59","False"
"edsilva","28/02/2020 08:25:26","True"
"ebraga","14/02/2020 06:32:02","False"
"ggomes","27/02/2020 08:36:23","True"
"mcardoso","12/02/2020 11:48:34","False"
"zreis","04/03/2020 19:56:10","False"
"con-losantos","23/08/2019 09:07:57","False"
"wferreira",,"False"
"pcoimbra","25/03/2020 07:30:50","False"
"sssantos","10/08/2019 09:56:48","False"
"mlause","19/03/2020 10:39:14","False"
"ttavares","24/02/2020 05:44:10","True"
"fbelo","10/03/2020 18:02:35","False"
"gfpinto","20/02/2020 08:23:48","False"
"lmartins","09/03/2020 07:57:42","False"
"mgoncalves","15/10/2018 14:19:05","False"
"cschaves","20/03/2020 13:29:54","False"
"fcandrade","30/04/2018 07:31:41","False"
"grodrigues","01/09/2018 12:07:18","False"
"sluiz","29/10/2018 08:55:02","False"
"avitor","17/07/2018 08:11:51","False"
"kbaragli","01/02/2018 06:35:52","False"
"gpinto","06/02/2018 10:16:46","False"
"fmilanio","14/11/2017 15:19:56","False"
"mgmelo",,"False"
"jorsouza",,"False"
"mtdiniz","14/07/2017 14:01:36","False"
"regsilva",,"False"
"jsilveira","08/01/2018 10:32:08","False"
"alsouza","11/01/2019 11:43:10","False"
"masantos","16/04/2018 09:30:31","False"
"ccjsouza","26/07/2018 10:15:20","False"
"fbarbosa","26/03/2018 11:47:53","False"
"dmadeira","02/03/2018 10:00:15","False"
"pfribeiro","09/04/2018 10:17:54","False"
"jvidal","28/07/2016 08:04:03","False"
"jcosta","03/04/2018 09:07:28","False"
"alpsilva","17/02/2020 06:24:48","False"
"jalexandre",,"False"
"bbeltrao","02/01/2019 07:46:33","False"
"fersilva","15/08/2016 07:38:17","False"
"flapsilva","30/04/2018 16:14:18","False"
"abonfim","24/10/2017 10:18:44","False"
"jlucas",,"False"
"mcsoares","12/11/2018 08:16:54","False"
"rbarbosa","09/04/2018 09:00:11","False"
"alnpereira","03/04/2018 09:12:23","False"
"mfurtado","03/05/2018 14:55:41","False"
"lispereira","25/10/2018 14:19:19","False"
"scarvalho","05/04/2018 13:12:12","False"
"jusilva","21/12/2017 07:17:24","False"
"elsilva","16/04/2018 10:25:55","False"
"hksouza","02/04/2018 08:11:41","False"
"jcoliveira",,"False"
"mofaria","16/04/2018 10:21:08","False"
"asbarbosa","19/03/2018 09:00:52","False"
"liferreira",,"False"
"imesquita",,"False"
"jaramos","19/05/2010 13:19:00","False"
"jfmartins","19/03/2018 08:59:52","False"
"ajfreitas","19/04/2018 09:21:14","False"
"jcarlos","28/12/2017 13:28:38","False"
"adenucci","19/03/2020 08:34:43","False"
"jbrandao","17/12/2018 15:31:42","False"
"con-mlcorrea","30/04/2015 06:16:02","False"
"lsilva","21/11/2018 08:34:53","False"
"srodrigues","27/04/2018 08:02:17","False"
"aazevedo","04/05/2018 08:12:10","False"
"aandrade","13/08/2016 09:42:29","False"
"llcruz",,"False"
"ajbrito","12/03/2020 09:56:15","False"
"vfoliveira","18/12/2019 15:27:20","False"
"gflausino","09/03/2020 06:58:02","False"
"frcandrade","27/02/2020 10:47:43","True"
"lucoliveira","02/03/2020 07:42:05","False"
"rjramos","20/02/2020 08:52:39","False"
"lreis","02/03/2020 07:28:24","False"
"yoliveira","13/02/2020 08:45:38","False"
"efsilva","23/03/2020 08:30:55","False"
"jomoliveira","20/02/2020 06:43:37","False"
